OBJECTID,SPECIES_CO,SPECIES_BO,WATERGAS,GSLENGTH,GSWIDTH,ADDRESS,STREET,SUFFIX,SIDE,SITE,ONSTR,FROMSTR,TOSTR,X,Y,LATITUDE,LONGITUDE,GlobalID,SiteUsage,Quadrant,MgmtDesignation,x2,y2
2431,Ginkgo,Ginkgo biloba,No,0,0,42,N PRINCE ST, ,Front,0,N PRINCE ST, , ,2372235.362,260211.3547,40.03858989,-76.30802957,66435dc2-ac55-4ab3-b83b-e2496ba3d64a,Tree,NWQ,Street,-76.30802957,40.03858989
3356,"Cherry, Yoshino Flowering",Prunus yedoensis,No,0,0,202,N QUEEN ST, ,Side,0,W CHESTNUT ST, , ,2372637.873,261151.6722,40.04115278,-76.30653734,47028e82-e61f-4e0a-b170-d42b6fa5c765,Tree,NWQ,Street,-76.30653734,40.04115277
5514,"Elm, American",Ulmus americana,No,0,0,150,N DUKE ST, ,Side,0,E CHESTNUT ST, , ,2373057.853,261170.9249,40.04118677,-76.30503643,94bc7593-4e1d-42eb-9bc3-ec69d2b1a2d0,Tree,NEQ,Street,-76.30503643,40.04118677
1601,Ginkgo,Ginkgo biloba,No,0,0,155,E KING ST,X,Front,0,E KING ST, , ,2373936.229,260179.7681,40.0384268,-76.30195773,3bd2b53f-1bb5-40fa-89d7-f2fc338e2cb7,Tree,NEQ,Street,-76.30195773,40.0384268
1696,Ginkgo,Ginkgo biloba,No,0,0,126,E KING ST,X,Front,0,E KING ST, , ,2373749.726,260106.8989,40.03823518,-76.30262799,636215ec-a7da-40a7-bdb5-e8034dc6de26,Tree,SEQ,Street,-76.30262799,40.03823518
937,"Maple, Red",Acer rubrum,Yes,0,0,548,S DUKE ST, ,Front,0,S DUKE ST, , ,2374748.673,258035.7673,40.03250545,-76.29918234,8448cb55-6769-45e0-85a1-7e1dfca7d0ef,Tree,SEQ,Street,-76.29918234,40.03250545
6178,"Maple, Hedge",Acer campestre,Yes,0,0,41,W FARNUM ST, ,Front,0,W FARNUM ST, , ,2372652.273,258794.4581,40.03468216,-76.30662351,c7918dc4-3369-4379-8e19-4d4906258ec3,Tree,SWQ,Street,-76.30662351,40.03468216
1435,Honeylocust,Gleditsia triacanthos,No,0,0,49,S DUKE ST, ,Front,0,S DUKE ST, , ,2373591.711,259555.5856,40.03672907,-76.3032245,88ccc56b-d4db-4955-b7c3-8bc943b8342c,Tree,SEQ,Street,-76.3032245,40.03672907
439,"Hackberry, Northern",Celtis occidentalis,No,0,0,583,PERSHING AVE, ,Rear,0,S PLUM ST, , ,2375852.087,259046.4257,40.03522962,-76.29518303,a8007c86-137b-41b6-a1bc-fff9f05be30a,Tree,SEQ,Street,-76.29518303,40.03522962
1862,"Lilac, Japanese Tree",Syringa reticulata,No,0,0,301,S BROAD ST, ,Front,0,S BROAD ST, , ,2378145.957,259095.5851,40.03526053,-76.28698929,0a9587c5-660e-4180-a21a-0a303e0d9379,Tree,SEQ,Street,-76.28698929,40.03526053
